Name,GID,Team,Modified,Members
Cypress Project (Managed Cypress Tasks),1201622901846159,VN Dev Team,2024-01-12T15:25:03.970Z,"[{'gid': '1201371484339884', 'resource_type': 'user'}, {'gid': '1201413415538593', 'resource_type': 'user'}, {'gid': '1202942584784352', 'resource_type': 'user'}]"
QA Board (Training - Support - Manage),1201627932003375,VN Dev Team,2024-01-12T15:24:52.643Z,"[{'gid': '1201413415538593', 'resource_type': 'user'}, {'gid': '1201415151369986', 'resource_type': 'user'}, {'gid': '1201392040267250', 'resource_type': 'user'}, {'gid': '1201371484416397', 'resource_type': 'user'}, {'gid': '1201392040379430', 'resource_type': 'user'}, {'gid': '1201371484381708', 'resource_type': 'user'}, {'gid': '1201371484339884', 'resource_type': 'user'}]"
Sprint Internal Projects,1201630530770402,Sprint,2023-11-06T17:25:41.295Z,"[{'gid': '1200170631438159', 'resource_type': 'user'}, {'gid': '1201611500801253', 'resource_type': 'user'}, {'gid': '1201622170349044', 'resource_type': 'user'}, {'gid': '1201932329203469', 'resource_type': 'user'}, {'gid': '1201347774970467', 'resource_type': 'user'}, {'gid': '1201915514702091', 'resource_type': 'user'}, {'gid': '1201314726380739', 'resource_type': 'user'}]"
Gravina's Monthly PPC - Job P002008,1201632533839384,Gravina,2024-02-09T21:07:29.762Z,"[{'gid': '1201622170349044', 'resource_type': 'user'}, {'gid': '1200170631438159', 'resource_type': 'user'}, {'gid': '1202134229139336', 'resource_type': 'user'}, {'gid': '1201932329203469', 'resource_type': 'user'}, {'gid': '1205366876192921', 'resource_type': 'user'}, {'gid': '1201611500801253', 'resource_type': 'user'}]"
Gravina's Managed Hosting - Job P002010,1201632533839395,Gravina,2024-01-09T21:06:32.847Z,"[{'gid': '1201622170349044', 'resource_type': 'user'}, {'gid': '1201415151369986', 'resource_type': 'user'}, {'gid': '1200170631438159', 'resource_type': 'user'}, {'gid': '1202134229139336', 'resource_type': 'user'}, {'gid': '1202942584784352', 'resource_type': 'user'}]"
AGI Managed Website Services - Job P002018,1201632533839434,AGI,2024-01-16T17:11:58.998Z,"[{'gid': '1200170631438159', 'resource_type': 'user'}, {'gid': '1201392040267250', 'resource_type': 'user'}, {'gid': '1202134229139336', 'resource_type': 'user'}, {'gid': '1201415151369986', 'resource_type': 'user'}, {'gid': '1201415151146491', 'resource_type': 'user'}, {'gid': '1202942584784352', 'resource_type': 'user'}, {'gid': '1205138321762305', 'resource_type': 'user'}]"
P001216 2+4 Wheel Monthly Social (FY24),1204427900387079,Honda,2023-11-22T19:15:46.393Z,"[{'gid': '1201602920261772', 'resource_type': 'user'}, {'gid': '1201840747987770', 'resource_type': 'user'}, {'gid': '1203650117376674', 'resource_type': 'user'}, {'gid': '1199713442278028', 'resource_type': 'user'}, {'gid': '1201326579002373', 'resource_type': 'user'}, {'gid': '1202414397910976', 'resource_type': 'user'}, {'gid': '1201840747987772', 'resource_type': 'user'}, {'gid': '1201879671482073', 'resource_type': 'user'}]"
Arrow Services: Website Maintenance/Support (15026-1),1201642340354551,VN Dev Team,2024-01-12T15:24:52.455Z,"[{'gid': '1201392040267250', 'resource_type': 'user'}, {'gid': '1201413415538595', 'resource_type': 'user'}, {'gid': '1151572975745744', 'resource_type': 'user'}, {'gid': '1116203513482350', 'resource_type': 'user'}, {'gid': '755946862470114', 'resource_type': 'user'}, {'gid': '1201622169611191', 'resource_type': 'user'}]"
Nexus Managed Web Plus - Job 16362,1201646891752779,Beale's Best,2023-10-13T22:54:13.750Z,"[{'gid': '1201392040267250', 'resource_type': 'user'}, {'gid': '1201415151369986', 'resource_type': 'user'}, {'gid': '1201419835618228', 'resource_type': 'user'}, {'gid': '1202942584784352', 'resource_type': 'user'}]"
BAND-IT Monthly Web Hosting - Job P002020,1201652847032853,BAND-IT,2024-01-16T17:13:51.719Z,"[{'gid': '1200170631438159', 'resource_type': 'user'}, {'gid': '1201415151369986', 'resource_type': 'user'}, {'gid': '1201415151146491', 'resource_type': 'user'}, {'gid': '1201419835618228', 'resource_type': 'user'}, {'gid': '1201371484381708', 'resource_type': 'user'}, {'gid': '1205139344486175', 'resource_type': 'user'}, {'gid': '1202942584784352', 'resource_type': 'user'}, {'gid': '1205138321762305', 'resource_type': 'user'}, {'gid': '1201622170349044', 'resource_type': 'user'}]"
